service_id,date,exception_type
1414703,20260410,1
1414703,20260413,1
1414703,20260414,1
1414703,20260415,1
1414703,20260416,1
1414703,20260417,1
1414703,20260504,1
1414703,20260505,1
1414704,20260408,1
1414704,20260409,1
1414704,20260410,1
1414704,20260413,1
1414704,20260414,1
1414704,20260415,1
1414704,20260416,1
1414704,20260417,1
1414704,20260504,1
1414704,20260505,1
1414705,20260408,1
1414705,20260409,1
1414705,20260410,1
1414705,20260413,1
1414705,20260414,1
1414705,20260415,1
1414705,20260416,1
1414705,20260417,1
1414705,20260504,1
1414705,20260505,1
1414706,20260408,1
1414706,20260409,1
1414706,20260410,1
1414706,20260413,1
1414706,20260414,1
1414706,20260415,1
1414706,20260416,1
1414706,20260417,1
1414706,20260504,1
1414706,20260505,1
1414707,20260408,1
1414707,20260409,1
1414707,20260410,1
1414707,20260413,1
1414707,20260414,1
1414707,20260415,1
1414707,20260416,1
1414707,20260417,1
1414707,20260504,1
1414707,20260505,1
1414708,20260408,1
1414708,20260409,1
1414708,20260410,1
1414708,20260413,1
1414708,20260414,1
1414708,20260415,1
1414708,20260416,1
1414708,20260417,1
1414708,20260504,1
1414708,20260505,1
1414709,20260408,1
1414709,20260409,1
1414709,20260410,1
1414709,20260413,1
1414709,20260414,1
1414709,20260415,1
1414709,20260416,1
1414709,20260417,1
1414709,20260504,1
1414709,20260505,1
1414710,20260408,1
1414710,20260409,1
1414710,20260410,1
1414710,20260413,1
1414710,20260414,1
1414710,20260415,1
1414710,20260416,1
1414710,20260417,1
1414710,20260504,1
1414710,20260505,1
1414711,20260408,1
1414711,20260409,1
1414711,20260410,1
1414711,20260413,1
1414711,20260414,1
1414711,20260415,1
1414711,20260416,1
1414711,20260417,1
1414711,20260504,1
1414711,20260505,1
1414712,20260408,1
1414712,20260409,1
1414712,20260410,1
1414712,20260413,1
1414712,20260414,1
1414712,20260415,1
1414712,20260416,1
1414712,20260417,1
1414712,20260504,1
1414712,20260505,1
1414713,20260408,1
1414713,20260409,1
1414713,20260410,1
1414713,20260413,1
1414713,20260414,1
1414713,20260415,1
1414713,20260416,1
1414713,20260417,1
1414713,20260504,1
1414713,20260505,1
1414714,20260408,1
1414714,20260409,1
1414714,20260410,1
1414714,20260413,1
1414714,20260414,1
1414714,20260415,1
1414714,20260416,1
1414714,20260417,1
1414714,20260504,1
1414714,20260505,1
1414715,20260408,1
1414715,20260409,1
1414715,20260410,1
1414715,20260413,1
1414715,20260414,1
1414715,20260415,1
1414715,20260416,1
1414715,20260417,1
1414715,20260504,1
1414715,20260505,1
1414716,20260408,1
1414716,20260409,1
1414716,20260410,1
1414716,20260413,1
1414716,20260414,1
1414716,20260415,1
1414716,20260416,1
1414716,20260417,1
1414716,20260504,1
1414716,20260505,1
1414717,20260408,1
1414717,20260409,1
1414717,20260410,1
1414717,20260413,1
1414717,20260414,1
1414717,20260415,1
1414717,20260416,1
1414717,20260417,1
1414717,20260504,1
1414717,20260505,1
1414718,20260408,1
1414718,20260409,1
1414718,20260410,1
1414718,20260413,1
1414718,20260414,1
1414718,20260415,1
1414718,20260416,1
1414718,20260417,1
1414718,20260504,1
1414718,20260505,1
1414719,20260408,1
1414719,20260409,1
1414719,20260410,1
1414719,20260413,1
1414719,20260414,1
1414719,20260415,1
1414719,20260416,1
1414719,20260417,1
1414719,20260504,1
1414719,20260505,1
1414720,20260408,1
1414720,20260409,1
1414720,20260410,1
1414720,20260413,1
1414720,20260414,1
1414720,20260415,1
1414720,20260416,1
1414720,20260417,1
1414720,20260504,1
1414720,20260505,1
1414721,20260408,1
1414721,20260409,1
1414721,20260410,1
1414721,20260413,1
1414721,20260414,1
1414721,20260415,1
1414721,20260416,1
1414721,20260417,1
1414721,20260504,1
1414721,20260505,1
1414722,20260408,1
1414722,20260409,1
1414722,20260410,1
1414722,20260413,1
1414722,20260414,1
1414722,20260415,1
1414722,20260416,1
1414722,20260417,1
1414722,20260504,1
1414722,20260505,1
1414723,20260408,1
1414723,20260409,1
1414723,20260410,1
1414723,20260413,1
1414723,20260414,1
1414723,20260415,1
1414723,20260416,1
1414723,20260417,1
1414723,20260504,1
1414723,20260505,1
1414724,20260408,1
1414724,20260409,1
1414724,20260410,1
1414724,20260413,1
1414724,20260414,1
1414724,20260415,1
1414724,20260416,1
1414724,20260417,1
1414724,20260504,1
1414724,20260505,1
1414725,20260408,1
1414725,20260409,1
1414725,20260410,1
1414725,20260413,1
1414725,20260414,1
1414725,20260415,1
1414725,20260416,1
1414725,20260417,1
1414725,20260504,1
1414725,20260505,1
1414726,20260408,1
1414726,20260409,1
1414726,20260410,1
1414726,20260413,1
1414726,20260414,1
1414726,20260415,1
1414726,20260416,1
1414726,20260417,1
1414726,20260504,1
1414726,20260505,1
1414727,20260408,1
1414727,20260409,1
1414727,20260410,1
1414727,20260413,1
1414727,20260414,1
1414727,20260415,1
1414727,20260416,1
1414727,20260417,1
1414727,20260504,1
1414727,20260505,1
1414728,20260408,1
1414728,20260409,1
1414728,20260410,1
1414728,20260413,1
1414728,20260414,1
1414728,20260415,1
1414728,20260416,1
1414728,20260417,1
1414728,20260504,1
1414728,20260505,1
1414729,20260408,1
1414729,20260409,1
1414729,20260410,1
1414729,20260413,1
1414729,20260414,1
1414729,20260415,1
1414729,20260416,1
1414729,20260417,1
1414729,20260504,1
1414729,20260505,1
1414730,20260408,1
1414730,20260409,1
1414730,20260410,1
1414730,20260413,1
1414730,20260414,1
1414730,20260415,1
1414730,20260416,1
1414730,20260417,1
1414730,20260504,1
1414730,20260505,1
